year,rank,artist,artist_normalized,has_spotify_match,artist_followers_max,artist_popularity_max,explicit_track_share,mean_track_duration_min,n_tracks_in_dataset,n_tracks_released_in_chart_year,primary_genre,spotify_display_name,track_popularity_max,track_popularity_mean,track_popularity_mean_in_chart_year,track_popularity_min
2018,1,drake,drake,True,103126025.0,95.0,0.8690476190476191,3.8779761904761907,84.0,26.0,rap,Drake,85.0,65.89285714285714,61.76923076923077,0.0
2018,2,post malone,post malone,True,47726839.0,86.0,0.7108433734939759,3.3266265060240965,83.0,10.0,pop,Post Malone,85.0,61.69879518072289,68.3,0.0
2018,3,cardi b,cardi b,True,25960760.0,81.0,1.0,3.491818181818182,22.0,15.0,,Cardi B,79.0,64.77272727272727,61.06666666666667,44.0
2018,4,ed sheeran,ed sheeran,True,122802777.0,88.0,0.018867924528301886,3.8866037735849064,53.0,,soft pop,Ed Sheeran,88.0,60.283018867924525,,1.0
2018,5,imagine dragons,imagine dragons,True,58375520.0,85.0,0.0,3.2058823529411766,17.0,2.0,,Imagine Dragons,84.0,56.294117647058826,80.0,0.0
2018,6,camila cabello,camila cabello,True,35582423.0,78.0,0.0,3.382,20.0,12.0,,Camila Cabello,79.0,55.5,54.5,3.0
2018,7,xxxtentacion,xxxtentacion,True,51727329.0,83.0,0.875,2.0925,8.0,4.0,emo rap,XXXTENTACION,82.0,77.75,78.75,68.0
2018,8,ariana grande,ariana grande,True,107418606.0,90.0,0.4148936170212766,3.3245744680851064,94.0,6.0,pop,Ariana Grande,85.0,63.91489361702128,64.66666666666667,0.0
2018,9,migos,migos,True,14641094.0,74.0,1.0,4.8919999999999995,5.0,2.0,trap,Migos,71.0,28.4,68.5,1.0
2018,10,maroon 5,maroon 5,True,45777722.0,85.0,0.25,3.5746428571428575,28.0,5.0,pop,Maroon 5,84.0,56.892857142857146,68.8,0.0
2018,11,juice wrld,juice wrld,True,42565036.0,85.0,1.0,3.588571428571428,7.0,1.0,melodic rap,Juice WRLD,82.0,60.857142857142854,82.0,3.0
2018,12,dua lipa,dua lipa,True,46895665.0,85.0,0.09523809523809523,3.393571428571428,42.0,2.0,pop,Dua Lipa,81.0,55.80952380952381,46.5,6.0
2018,13,travis scott,travis scott,True,41131037.0,89.0,0.9090909090909091,3.610606060606061,33.0,17.0,rap,Travis Scott,84.0,69.9090909090909,71.0,34.0
2018,14,halsey,halsey,True,22397897.0,80.0,0.3157894736842105,3.4200000000000004,19.0,2.0,,Halsey,83.0,40.89473684210526,26.5,0.0
2018,15,khalid,khalid,True,16946293.0,82.0,0.2222222222222222,3.3755555555555556,9.0,2.0,,Khalid,81.0,66.0,71.5,42.0
2018,16,6ix9ine,6ix9ine,False,,,,,,,,,,,,
2018,17,florida georgia line,florida georgia line,True,5589342.0,70.0,0.0,3.5119999999999996,10.0,,country,Florida Georgia Line,69.0,48.3,,0.0
2018,18,ella mai,ella mai,True,6192505.0,69.0,0.0,3.9333333333333336,3.0,2.0,r&b,Ella Mai,73.0,68.66666666666667,69.0,65.0
2018,19,kendrick lamar,kendrick lamar,True,44606446.0,89.0,0.7272727272727273,3.427272727272727,11.0,2.0,hip hop,Kendrick Lamar,89.0,72.54545454545455,74.5,2.0
2018,20,taylor swift,taylor swift,True,145542136.0,100.0,0.1419753086419753,3.89679012345679,324.0,,country,Taylor Swift,97.0,60.04938271604938,,0.0
2018,21,nicki minaj,nicki minaj,True,34297934.0,84.0,0.8888888888888888,3.506111111111111,18.0,1.0,,Nicki Minaj,78.0,53.55555555555556,61.0,0.0
2018,22,bebe rexha,bebe rexha,True,9839947.0,76.0,0.0,2.856,5.0,2.0,,Bebe Rexha,70.0,58.4,70.0,39.0
2018,23,bazzi,bazzi,True,5506705.0,66.0,0.75,2.6875,4.0,2.0,,Bazzi,72.0,69.25,71.5,66.0
2018,24,marshmello,marshmello,True,34481381.0,80.0,0.125,2.8925,8.0,2.0,edm,Marshmello,81.0,66.25,49.0,17.0
2018,25,eminem,eminem,True,104584370.0,88.0,0.9850746268656716,4.441940298507464,67.0,1.0,rap,Eminem,87.0,56.25373134328358,67.0,10.0
2018,26,lil pump,lil pump,True,7569701.0,61.0,1.0,2.06,1.0,,,Lil Pump,59.0,59.0,,59.0
2018,27,21 savage,21 savage,True,23822155.0,84.0,1.0,4.135714285714285,7.0,1.0,,21 Savage,78.0,62.285714285714285,78.0,3.0
2018,28,nf,nf,True,11162039.0,76.0,0.0,3.53,1.0,,christian hip hop,NF,77.0,77.0,,77.0
2018,29,demi lovato,demi lovato,True,27289523.0,78.0,0.5384615384615384,3.443076923076923,13.0,1.0,,Demi Lovato,80.0,59.76923076923077,58.0,2.0
2018,30,selena gomez,selena gomez,True,53267200.0,81.0,0.0,3.436,20.0,2.0,,Selena Gomez,77.0,56.7,67.5,0.0
2018,31,charlie puth,charlie puth,True,25310805.0,80.0,0.0,3.217,10.0,3.0,soft pop,Charlie Puth,87.0,54.9,78.0,2.0
2018,32,g-eazy,g-eazy,True,6295804.0,74.0,1.0,4.408333333333334,6.0,,,G-Eazy,80.0,59.833333333333336,,0.0
2018,33,the weeknd,the weeknd,True,113039308.0,94.0,0.49645390070921985,4.3803546099290775,141.0,4.0,r&b pop,The Weeknd,91.0,60.787234042553195,76.0,1.0
2018,34,lil baby,lil baby,True,21662596.0,84.0,1.0,2.9706666666666663,15.0,14.0,,Lil Baby,79.0,63.13333333333333,62.642857142857146,47.0
2018,35,dan + shay,dan + shay,True,3203185.0,66.0,0.0,3.203333333333333,3.0,2.0,country,Dan + Shay,68.0,67.33333333333333,67.0,67.0
2018,36,kane brown,kane brown,True,5778418.0,71.0,0.0,3.2,4.0,,country,Kane Brown,68.0,58.75,,51.0
2018,37,j balvin,j balvin,True,39113380.0,86.0,0.0,3.575,4.0,1.0,reggaeton,J Balvin,76.0,66.25,76.0,53.0
2018,38,youngboy never broke again,youngboy never broke again,True,14958573.0,85.0,1.0,3.0680000000000005,5.0,2.0,,YoungBoy Never Broke Again,80.0,73.4,70.0,67.0
2018,39,bruno mars,bruno mars,True,75513910.0,90.0,0.037037037037037035,3.681111111111111,27.0,,,Bruno Mars,88.0,66.4074074074074,,0.0
2018,40,shawn mendes,shawn mendes,True,45710657.0,81.0,0.043478260869565216,3.2399999999999998,23.0,3.0,,Shawn Mendes,86.0,58.78260869565217,23.333333333333332,0.0
2018,41,j. cole,j. cole,True,27077429.0,82.0,1.0,4.1466666666666665,9.0,,rap,J. Cole,85.0,67.44444444444444,,1.0
2018,42,rich the kid,rich the kid,True,3479963.0,64.0,1.0,3.0549999999999997,2.0,2.0,trap,Rich The Kid,66.0,62.0,62.0,58.0
2018,43,bad bunny,bad bunny,True,102610644.0,95.0,0.8035714285714286,3.6501785714285715,56.0,1.0,reggaeton,Bad Bunny,91.0,73.33928571428571,6.0,6.0
2018,44,lil wayne,lil wayne,True,17938214.0,86.0,0.75,4.33,8.0,1.0,rap,Lil Wayne,78.0,36.625,70.0,0.0
2018,45,5 seconds of summer,5 seconds of summer,True,10246609.0,76.0,0.14285714285714285,3.2571428571428576,7.0,2.0,,5 Seconds of Summer,80.0,59.285714285714285,75.0,0.0
2018,46,sza,sza,True,33068979.0,87.0,0.625,3.028125,16.0,,r&b,SZA,85.0,70.875,,56.0
2018,47,portugal. the man,portugal. the man,True,1525079.0,69.0,0.0,3.41,2.0,,,Portugal. The Man,83.0,74.0,,65.0
2018,48,luke combs,luke combs,True,13402920.0,83.0,0.0,3.8375,4.0,,country,Luke Combs,82.0,77.25,,75.0
2018,49,lauv,lauv,True,6816695.0,73.0,0.2,3.2939999999999996,5.0,1.0,,Lauv,2.0,1.0,2.0,0.0
2018,50,thomas rhett,thomas rhett,True,4984665.0,73.0,0.0,3.793333333333333,3.0,,country,Thomas Rhett,72.0,59.0,,43.0
2018,51,childish gambino,childish gambino,True,14561716.0,78.0,0.8333333333333334,4.864999999999999,6.0,1.0,,Childish Gambino,66.0,14.0,66.0,1.0
2018,52,blocboy jb,blocboy jb,True,1434846.0,53.0,1.0,3.02,1.0,1.0,,BlocBoy JB,57.0,57.0,57.0,57.0
2018,53,sam smith,sam smith,True,26278854.0,81.0,0.0,3.253846153846154,39.0,,soft pop,Sam Smith,85.0,37.58974358974359,,0.0
2018,54,maren morris,maren morris,True,888857.0,67.0,0.0,3.28,1.0,,country,Maren Morris,66.0,66.0,,66.0
2018,55,jason aldean,jason aldean,True,7054208.0,75.0,0.0,3.6281818181818184,11.0,1.0,country,Jason Aldean,76.0,58.81818181818182,76.0,0.0
2018,56,offset,offset,True,5610584.0,77.0,0.75,3.835,4.0,,,Offset,81.0,50.25,,0.0
2018,57,luke bryan,luke bryan,True,9408174.0,74.0,0.0,3.6487499999999997,16.0,,country,Luke Bryan,75.0,50.625,,32.0
2018,58,kodak black,kodak black,True,12478974.0,79.0,0.7142857142857143,3.5714285714285716,7.0,3.0,,Kodak Black,77.0,64.28571428571429,59.666666666666664,50.0
2018,59,young thug,young thug,True,12421354.0,84.0,1.0,3.9425,4.0,,rap,Young Thug,73.0,69.5,,67.0
2018,60,kanye west,kanye west,True,31059657.0,89.0,0.6956521739130435,4.1643478260869555,23.0,3.0,rap,Kanye West,85.0,66.34782608695652,71.33333333333333,1.0
2018,61,ty dolla $ign,ty dolla $ign,True,7319540.0,81.0,1.0,4.04,1.0,,trap soul,Ty Dolla $ign,80.0,80.0,,80.0
2018,62,tyga,tyga,True,7315854.0,78.0,1.0,3.693333333333333,3.0,1.0,,Tyga,72.0,47.333333333333336,68.0,2.0
2018,63,logic,logic,True,6141719.0,71.0,1.0,4.12,2.0,,,Logic,76.0,71.0,,66.0
2018,64,brett young,brett young,False,,,,,,,,,,,,
2018,65,zedd,zedd,True,6111556.0,73.0,0.0,3.6966666666666668,3.0,1.0,edm,Zedd,78.0,77.0,77.0,76.0
2018,66,normani,normani,True,2956534.0,66.0,1.0,2.84,1.0,,,Normani,44.0,44.0,,44.0
2018,67,old dominion,old dominion,True,1738831.0,67.0,0.0,3.5666666666666664,3.0,,country,Old Dominion,67.0,58.666666666666664,,44.0
2018,68,grey,grey,False,,,,,,,,,,,,
2018,69,famous dex,famous dex,False,,,,,,,,,,,,
2018,70,kenny chesney,kenny chesney,True,4887584.0,69.0,0.0,4.085,2.0,,country,Kenny Chesney,71.0,57.5,,44.0
2018,71,lil uzi vert,lil uzi vert,True,19260805.0,82.0,1.0,2.9666666666666663,3.0,,melodic rap,Lil Uzi Vert,80.0,66.0,,46.0
2018,72,metro boomin,metro boomin,True,11687489.0,84.0,1.0,3.3155555555555556,9.0,3.0,,Metro Boomin,83.0,75.0,69.66666666666667,62.0
2018,73,justin timberlake,justin timberlake,True,15830822.0,82.0,0.3,5.840999999999999,10.0,1.0,,Justin Timberlake,85.0,72.4,68.0,56.0
2018,74,daddy yankee,daddy yankee,True,37813429.0,85.0,0.0,3.275,2.0,1.0,reggaeton,Daddy Yankee,69.0,37.5,69.0,6.0
2018,75,russell dickerson,russell dickerson,True,587206.0,65.0,0.0,3.06,1.0,,country,Russell Dickerson,59.0,59.0,,59.0
2018,76,anne-marie,anne-marie,True,12848260.0,75.0,0.5,2.705,2.0,1.0,,Anne-Marie,78.0,73.5,78.0,69.0
2018,77,lil dicky,lil dicky,True,2046209.0,59.0,1.0,3.61,1.0,1.0,,Lil Dicky,73.0,73.0,73.0,73.0
2018,78,yg,yg,True,3477960.0,71.0,1.0,3.92,1.0,,,YG,0.0,0.0,,0.0
2018,79,beyonce,beyonce,False,,,,,,,,,,,,
2018,80,dj khaled,dj khaled,True,12343335.0,73.0,1.0,3.9685714285714284,7.0,1.0,,DJ Khaled,72.0,65.42857142857143,60.0,60.0
2018,81,chris brown,chris brown,True,28338976.0,87.0,0.7333333333333333,3.858,15.0,,r&b,Chris Brown,83.0,59.333333333333336,,0.0
2018,82,blake shelton,blake shelton,True,7507062.0,69.0,0.0,3.62875,8.0,,country,Blake Shelton,66.0,58.25,,36.0
2018,83,gucci mane,gucci mane,True,5987438.0,76.0,1.0,3.364,5.0,2.0,southern hip hop,Gucci Mane,75.0,66.2,73.0,49.0
2018,84,quavo,quavo,True,8083202.0,76.0,0.6666666666666666,2.94,3.0,,,Quavo,70.0,61.0,,50.0
2018,85,the carters,the carters,False,,,,,,,,,,,,
2018,86,lil skies,lil skies,True,5287479.0,64.0,1.0,3.375,2.0,1.0,melodic rap,Lil Skies,66.0,51.5,37.0,37.0
2018,87,chris stapleton,chris stapleton,True,9020741.0,81.0,0.0,4.88,1.0,,country,Chris Stapleton,84.0,84.0,,84.0
2018,88,max,max,False,,,,,,,,,,,,
2018,89,ozuna,ozuna,False,,,,,,,,,,,,
